###category: vlieglessen###
Polderaviation.nl;Proefles vliegen,Vliegopleiding,Rondvlucht;Lelystad;http://www.polderaviation.nl/;
Vliegcentrum Lelystad;Vliegbrevet halen,Ultralight vliegen,Trike vliegen,Proefles vliegen,Stuntvluchten-stuntvliegen,Rondvluchten,Vliegarrangementen;Emoeweg 1 8218 PC Lelystad;http://www.youtube.com/watch?v=Ghkv26_hg2k;0320-284342/288570
Lion Air;Vlieglessen,Rondvluchten,Flight Simulator;Dijkje 128 3077 CM Rotterdam;http://www.lionair.nl/;010 - 47 96 330
Glope events;Rondvluchten,Grotchallenge,Ardennen survival,Dropping Limburg,diverse locaties in Nederland - Luchtballonvaren,diverse locaties in Nederland - Parachute Springem,diverse locaties in Nederland - Zweefvliegen,diverse locaties in Nederland - Vliegles,diverse locaties in Nederland - Helikopterproefles,diverse locaties in Nederland - Rondvluchten,diverse locaties in Nederland - Vliegeren & kite of bird vliegen,diverse locaties in Nederland - Beachgames,diverse locaties in Nederland - TukTuk arrangementen,diverse locaties in Nederland - Solex rijden,diverse locaties in Nederland - Samurai Jeep Experience,diverse locaties in Nederland - Quad Adventure,diverse locaties in Nederland - Anti-slip cursus,diverse locaties in Nederland - Ferrarie-Porsche-Lamborghini Experience,Amsterdam GPS,diverse locaties in Nederland - Yachtzeilen,diverse locaties in Nederland - Branding kano-kanopolo,diverse locaties in Nederland - Waterskiën-wakeboarden-kitesurfen,diverse locaties in Nederland - Party on Ice;Badhuisstraat 11 2584 HD Scheveningen;http://www.glope.nl;020-4713541
Sky High Events;Aerobatics Vliegen,Helikopter Vliegen,RIB Speedboot,Solex Rally,Parachute Tandemsprong,Parachute Dropping,Watervliegtuig Dropping,Legervoertuigen Rally,Draagvleugelspeedboot Trip,Excursie Aviodrome;Postbus 53 2080 AB Santpoort-Zuid;http://www.skyhighevents.nl/;023-8221374
Heliflights;Helikoptervluchten;Langesteeg 35a 6721 NB Bennekom;http://www.helikoptervluchten.nl/;0318-578300
Vliegschool Skyriders;Leren Vliegen;Arendweg 15 8218 PE Lelystad;http://www.skyriders.nl/;0320-288601
FST Flight Simulator Training;Flight Simulator,Cursus vlieg zonder angst,Vliegen,Vlieglessen;Stationsplein 410 1117 CL Schiphol;http://www.flightsimulator.nl;020-4050120
Randonaerdo Adventures;Deltavliegen;Cockenhofstraat 1 4053 HP IJzendoorn;http://www.deltavliegschool.com;0344-606680
Aero Noord;Vlieglessen;Plesmanstraat 12 7903 BE Hoogeveen;http://www.aeronoord.nl/;0528-274855
